potrebi,use (Rus)
bi,be (Rus)
dostava,get (Rus)
hote,want (Rus)
dela,make (Rus)
yazik,language (Rus)
kognat,cognate (Rus)
ili,or (Rus)
na,to (Rus)
utci,learn (Rus)
kampyutir,computer (Rus)
dela,do (Rus)
motc,able (Rus)
vec,thing (Rus)
dolji,must (Rus)
id,go (Rus)
vremya,time (Rus)
mesta,place (Rus)
druk,friend (Rus)
ime,have (Rus)
slova,word (Rus)
kusok,piece (Rus)
patcimu,why (Rus)
privet,hi (Rus)
paka,bye (Rus)
cest,six (Rus)
sem,seven (Rus)
vosim,eight (Rus)
devit,nine (Rus)
desit,ten (Rus)
nul,zero (Rus)
ya,i (Rus)
ti,you (Rus)
on,he (Rus)
mi,we (Rus)
vi,youall (Rus)
ani,they (Rus)
eta,this (Rus)
to,that (Rus)
zdes,here (Rus)
tam,there (Rus)
kto,who (Rus)
cto,what (Rus)
gde,where (Rus)
kagda,when (Rus)
kak,how (Rus)
ne,not (Rus)
fse,all (Rus)
mnogi,many (Rus)
neskalka,some (Rus)
nimnogi,few (Rus)
drugoy,other (Rus)
adin,one (Rus)
dva,two (Rus)
tri,three (Rus)
tcitiri,four (Rus)
pyat,five (Rus)
balcoy,big (Rus)
dlini,long (Rus)
ciroki,wide (Rus)
tolsti,thick (Rus)
tijoli,heavy (Rus)
malinki,small (Rus)
karotki,short (Rus)
uski,narrow (Rus)
tonki,thin (Rus)
jencina,woman (Rus)
mucina,man (Rus)
tcilavek,human (Rus)
dita,child (Rus)
jina,wife (Rus)
muj,husband (Rus)
mama,mother (Rus)
atets,father (Rus)
jivotna,animal (Rus)
riba,fish (Rus)
ptitsa,bird (Rus)
pyos,dog (Rus)
voc,louse (Rus)
zmiya,snake (Rus)
tcerv,worm (Rus)
deriva,tree (Rus)
lyes,forest (Rus)
palka,stick (Rus)
plot,fruit (Rus)
semya,seed (Rus)
list,leaf (Rus)
korin,root (Rus)
kara,bark (Rus)
tsvitok,flower (Rus)
trava,grass (Rus)
virofka,rope (Rus)
koza,skin (Rus)
masa,meat (Rus)
krof,blood (Rus)
kost,bone (Rus)
jir,fat (Rus)
yiytso,egg (Rus)
rok,horn (Rus)
hvost,tail (Rus)
piro,feather (Rus)
volasi,hair (Rus)
galava,head (Rus)
uha,ear (Rus)
glas,eye (Rus)
nos,nose (Rus)
rot,mouth (Rus)
zup,tooth (Rus)
yizik,tongue (Rus)
nogat,fingernail (Rus)
stapa,foot (Rus)
naga,leg (Rus)
kalena,knee (Rus)
ruka,hand (Rus)
krilo,wing (Rus)
jivot,belly (Rus)
kicki,guts (Rus)
ceya,neck (Rus)
spina,back (Rus)
grut,breast (Rus)
sertsi,heart (Rus)
petcin,liver (Rus)
pit,drink (Rus)
yes,eat (Rus)
kusa,bite (Rus)
sasa,suck (Rus)
pliva,spit (Rus)
bliva,vomit (Rus)
dut,blow (Rus)
dica,breathe (Rus)
smiya,laugh (Rus)
vide,see (Rus)
slica,hear (Rus)
zna,know (Rus)
duma,think (Rus)
tcuya,smell (Rus)
baya,fear (Rus)
spa,sleep (Rus)
ji,live (Rus)
umira,die (Rus)
ubiva,kill (Rus)
baro,fight (Rus)
ahoti,hunt (Rus)
udari,hit (Rus)
rezat,cut (Rus)
razdili,split (Rus)
kalo,stab (Rus)
tsarapa,scratch (Rus)
